Domain,CanisterId
btc-mainnet.protocol.icp,ghsi2-tqaaa-aaaan-aaaca-cai
btc-testnet.protocol.icp,g4xu7-jiaaa-aaaan-aaaaq-cai
cycles-ledger.protocol.icp,um5iw-rqaaa-aaaaq-qaaba-cai
cycles-ledger-index.protocol.icp,ul4oc-4iaaa-aaaaq-qaabq-cai
cycles-minting.protocol.icp,rkp4c-7iaaa-aaaaa-aaaca-cai
exchange-rate.protocol.icp,uf6dk-hyaaa-aaaaq-qaaaq-cai
genesis-token.protocol.icp,renrk-eyaaa-aaaaa-aaada-cai
icp-index.protocol.icp,qhbym-qaaaa-aaaaa-aaafq-cai
icp-ledger.protocol.icp,ryjl3-tyaaa-aaaaa-aaaba-cai
icp-ledger-archive-1.protocol.icp,qsgjb-riaaa-aaaaa-aaaga-cai
icp-ledger-archive-2.protocol.icp,qjdve-lqaaa-aaaaa-aaaeq-cai
internet-identity.protocol.icp,rdmx6-jaaaa-aaaaa-aaadq-cai
sns-wasm.protocol.icp,qaa6y-5yaaa-aaaaa-aaafa-cai
salt-sharing.protocol.icp,uz2z3-qyaaa-aaaaq-qaacq-cai
governance.nns.icp,rrkah-fqaaa-aaaaa-aaaaq-cai
lifeline.nns.icp,rno2w-sqaaa-aaaaa-aaacq-cai
registry.nns.icp,rwlgt-iiaaa-aaaaa-aaaaa-cai
root.nns.icp,r7inp-6aaaa-aaaaa-aaabq-cai
dapp.nns.icp,qoctq-giaaa-aaaaa-aaaea-cai
